16:47:39 | INFO    | bili-uploader | 检测模式: areas，日志: G:\Kimi Work\视频工具箱\logs\uploader\run_20260907_164739.log
16:47:40 | INFO    | modules.browser | 启动浏览器（通道: playwright-chromium，Profile: G:\Kimi Work\视频工具箱\data\uploader_profile）
16:47:40 | INFO    | modules.browser | 浏览器通道就绪: playwright-chromium
16:47:40 | INFO    | modules.browser | 浏览器启动完成，视口固定为 {'width': 1920, 'height': 1080}，缩放 1:1
16:47:40 | INFO    | bili-uploader | AI 屏幕识别已启用（视觉模型: glm-4.5v）
16:47:43 | INFO    | bili-uploader | 登录态有效，直接进入投稿流程
16:47:43 | INFO    | modules.catalog | 分区检测：先上传视频 D:/原片/潮汐任務第四章第三幕「心剣響けば煙雲棚引く」をやる/潮汐任務第四章第三幕「心剣響けば煙雲棚引く」をやる.mp4
16:47:43 | INFO    | modules.uploader | 待上传文件: D:\原片\潮汐任務第四章第三幕「心剣響けば煙雲棚引く」をやる\潮汐任務第四章第三幕「心剣響けば煙雲棚引く」をやる.mp4（10085.21 MB）
16:47:43 | INFO    | modules.uploader | 命中视频文件输入框: input[type="file"]（共 3 个，取第一个）
16:47:43 | INFO    | modules.uploader | CDP 已注入文件（DOM.setFileInputFiles）: 潮汐任務第四章第三幕「心剣響けば煙雲棚引く」をやる.mp4
16:47:43 | INFO    | modules.uploader | 等待视频上传与初始化完成（超时 1800 秒）...
17:17:48 | INFO    | modules.browser | 浏览器已关闭
